疟	瘧
疠	癘
疡	瘍
疬	癧
疭	瘲
疮	瘡
疯	瘋
疱	皰
疴	痾
症	症 癥
痈	癰
痉	痙
痒	癢
痖	瘂
痨	癆
痪	瘓
痫	癇
痴	癡
瘅	癉
瘆	瘮
瘗	瘞
瘘	瘻
瘪	癟
瘫	癱
瘾	癮
瘿	癭
癞	癩
癣	癬
癫	癲
皂	皁 皂
皑	皚
皱	皺
皲	皸
盏	盞
盐	鹽
监	監
盖	蓋
盗	盜
盘	盤
眍	瞘
眦	眥
眬	矓
睁	睜
睐	睞
睑	瞼
瞆	瞶
瞒	瞞
瞩	矚
矩	矩 榘
矫	矯
矶	磯
矾	礬
矿	礦
砀	碭
码	碼
砖	磚
砗	硨
砚	硯
砜	碸
砺	礪
砻	礱
砾	礫
础	礎
硁	硜
硕	碩
硖	硤
硗	磽
硙	磑
确	確 确
硷	鹼
碍	礙
碛	磧
碜	磣
碱	鹼
礼	禮
祃	禡
祎	禕
祢	禰
祯	禎
祷	禱
祸	禍
禀	稟
禄	祿
禅	禪
离	離
私	私 俬
秃	禿
秆	稈
秋	秋 鞦
种	種 种
秘	祕
积	積
称	稱
秽	穢
秾	穠
稆	穭
税	稅
稣	穌
稳	穩
穑	穡
穗	穗 繐
穷	窮
窃	竊
窍	竅
窎	窵
窑	窯
窜	竄
窝	窩
窥	窺
窦	竇
窭	窶
竖	豎
竞	競
笃	篤
笋	筍
笔	筆
笕	筧
笺	箋
笼	籠
笾	籩
筑	築 筑
筚	篳
筛	篩
筜	簹
筝	箏
筹	籌
筼	篔
签	籤 簽
简	簡
箓	籙
箦	簀
箧	篋
箨	籜
箩	籮
箪	簞
箫	簫
篑	簣
篓	簍
篮	籃
篱	籬
簖	籪
籁	籟
籴	糴
类	類
籼	秈
粜	糶
粝	糲
粤	粵
粪	糞
粮	糧
粽	糉
糁	糝
糇	餱
糍	餈
系	系 係 繫
紧	緊
累	累
絷	縶
纟	糹
纠	糾
纡	紆
红	紅
纣	紂
纤	纖 縴
纥	紇
约	約
级	級
纨	紈
纩	纊
纪	紀
纫	紉
纬	緯
纭	紜
纮	紘
纯	純
纰	紕
纱	紗
纲	綱
纳	納
纴	紝
纵	縱
纶	綸
纷	紛
纸	紙
纹	紋
纺	紡
纻	紵
纼	紖
纽	紐 鈕
纾	紓
线	線
绀	紺
绁	紲
绂	紱
练	練
组	組
绅	紳
细	細
织	織
终	終
绉	縐
绊	絆
绋	紼
绌	絀
绍	紹
绎	繹
经	經
绐	紿
绑	綁
绒	絨
结	結
绔	絝
绕	繞
绖	絰
绗	絎
绘	繪
给	給
绚	絢
绛	絳
络	絡
绝	絕
绞	絞
统	統
绠	綆
绡	綃
绢	絹
绣	繡
绤	綌
绥	綏
绦	絛
继	繼
绨	綈
绩	績
绪	緒
绫	綾
绬	緓
续	續
绮	綺
绯	緋
绰	綽
绱	鞝
绲	緄
绳	繩
维	維
绵	綿
绶	綬
绷	繃
绸	綢
绹	綯
绺	綹
绻	綣
综	綜
绽	綻
绾	綰
绿	綠
缀	綴
缁	緇
缂	緙
缃	緗
缄	緘
缅	緬
缆	纜
缇	緹
缈	緲
缉	緝
缊	縕
缋	繢
缌	緦
缍	綞
缎	緞
缏	緶
缑	緱
缒	縋
缓	緩
缔	締
缕	縷
编	編
缗	緡
缘	緣
缙	縉
缚	縛
缛	縟
缜	縝
缝	縫
缞	縗
缟	縞
缠	纏
缡	縭
缢	縊
缣	縑
缤	繽
缥	縹
缦	縵
缧	縲
缨	纓
缩	縮
缪	繆
缫	繅
缬	纈
缭	繚
缮	繕
缯	繒
缰	繮
缱	繾
缲	繰
缳	繯
缴	繳
缵	纘
罂	罌
网	網
罗	羅
罚	罰
罢	罷
罴	羆
羁	羈
羟	羥
羡	羨
群	羣
翘	翹
耢	耮
耧	耬
耸	聳
耻	恥
聂	聶
聋	聾
职	職
聍	聹
联	聯
聩	聵
聪	聰
肃	肅
肠	腸
肤	膚
肮	骯
肴	餚
肾	腎
肿	腫
胀	脹
胁	脅
胆	膽
背	背 揹
胜	勝 胜
胡	胡 鬍 衚
胧	朧
胨	腖
胪	臚
胫	脛
胶	膠
脉	脈
脍	膾
脏	髒 臟
脐	臍
脑	腦
脓	膿
脔	臠
脚	腳
脱	脫
脶	腡
脸	臉
腊	臘 腊
腌	醃 腌
腭	齶
腻	膩
腼	靦
腽	膃
腾	騰
膑	臏
膻	羶 膻
臜	臢
致	致 緻
舆	輿
舍	舍 捨
舣	艤
舰	艦
舱	艙
舻	艫
艰	艱
艳	豔
艺	藝
节	節
芈	羋
芗	薌
芜	蕪
芦	蘆
芸	芸 蕓
苁	蓯
苇	葦
苈	藶
苋	莧
苌	萇
苍	蒼
苎	苧
苏	蘇 甦 囌
苔	苔 薹
苘	檾
苧	薴
苹	蘋 苹
范	範 范
茎	莖
茏	蘢
茑	蔦
茔	塋
茕	煢
茧	繭
荆	荊
荐	薦 荐
荙	薘
荚	莢
荛	蕘
荜	蓽
荞	蕎
荟	薈
荠	薺
荡	蕩 盪
