㨗	捷
鉋	刨
甯	寧 甯
踫	碰
呪	咒
宐	宜
勗	勖
寕	寧
燉	炖
㩦	携
餱	糇
簮	簪
罸	罰
啣	銜
𠇮	命
𤺥	瘩
緥	褓
㝡	最
櫱	蘖
癄	憔
児	兒
醼	宴
姪	侄
亱	夜
㕑	厨
繐	穗
隂	陰
別	别
剷	鏟
畵	畫
災	灾
詠	咏
臝	裸
悤	匆
繃	綳
蠎	蟒
橫	横
麏	麇
覩	睹
脇	脅
芲	花
彥	彦
蚉	蚊
牋	箋
衘	銜
霤	溜
賸	剩
饍	膳
缾	瓶
脣	唇
餬	糊
崕	崖
砲	炮
諙	話
鎭	鎮
薀	蕰
甞	嘗
棄	弃
㠀	島
遶	繞
粰	麩
柺	拐
剱	劍
桿	杆
袷	夾 袷
帋	紙
髥	髯
揯	搄
鸎	鶯
覈	核
搨	拓
瑯	琅
蛻	蜕
覧	覽
穤	糯
讙	歡
㽞	留
㠝	巑
寔	實
詧	察
銳	鋭
皁	皂
沖	衝 冲
腳	脚
𢬸	括
麕	麇
鑤	刨
稉	粳
醞	醖
譔	撰
𦉆	碴
駈	驅
桒	桑
夣	夢
筦	管 筦
稅	税
葠	參
倣	仿
廚	厨
矁	瞅
𦊱	挂
賛	贊
內	内
厳	嚴
挐	拿
簑	蓑
㱕	歸
闇	暗
榦	幹
𤋮	熙
籑	饌
骽	腿
竚	伫
歳	歲
𧥢	誇
𦪙	䑽
豬	猪
屍	尸
陻	堙
綑	捆
琍	璃
艢	檣
蔾	藜
黙	默
狥	徇
鉆	鑽
傯	偬
慍	愠
㕠	雙
㼝	碗
恡	吝
軰	輩
堃	坤 堃
𥲻	纂
甖	罌
鶿	鷀
鉄	鐵
馿	驢
遊	游
巵	卮
琹	琴
𠞰	剿
懴	懺
冪	幂
籐	藤
斈	學
槖	橐
戹	厄
螡	蚊
孃	娘
䭾	馱
壈	𡒄
凈	净
圅	函
脃	脆
𠴟	咩
滾	滚
巹	卺
絃	弦
簙	博
玅	妙
唸	念
觔	斤
緪	縆
鄼	酇
衕	同
軃	嚲
骾	鯁
穉	稚
癈	廢
𩭪	䘿
贗	贋
遯	遁
酖	鴆
嵒	岩
崙	侖
絛	縧
篛	箬
冊	册
斸	劚
怳	恍
崘	侖
釦	扣
姍	姗
貛	獾
尫	尪
蓡	參
㥫	惇
臋	臀
嬭	奶
瘉	愈
產	産
㑺	俊
稬	糯
臈	臘
棊	棋
衖	弄
辢	辣
拋	抛
㒺	罔
徃	往
麐	麟
畱	留
跡	迹
㪟	敦
頫	俯 頫
墰	罎
鱓	鱔
燿	耀
慴	懾
爭	争
擧	舉
𠌂	傘
漥	窪
廂	厢
蕚	萼
盇	盍
堓	岸
匃	丐
齎	賫
䢜	歸
柵	栅
脈	脉
衞	衛
讎	仇 讎
轀	輼
綵	彩
僲	仙
廩	廪
隣	鄰
剹	戮
異	异
亝	齋
乗	乘
幚	幫
羶	膻
甎	磚
枴	拐
虗	虚
楳	梅
惏	婪
鎚	錘
𥄨	瞅
淛	浙
鼔	鼓
畆	畝
戞	戛
朂	勖
秈	籼
鵞	鵝
廝	厮
㯭	櫓
婣	姻
媮	偷
脫	脱
㱃	飲
亷	廉
𢷬	搗
靣	面
縂	總
愽	博
逩	奔
稾	稿
厀	膝
聀	職
攩	擋
蒕	蒀
敎	教
洩	泄
壻	婿
毧	絨
秔	粳
鉳	錇
眎	視
敺	驅
寜	寧
梔	栀
勦	剿
亯	享
睠	眷
頟	額
廁	厠
雞	鷄
廈	厦
錼	鎿
歎	嘆
槀	槁
鍊	煉 鏈 鍊
妳	你 奶
㚷	你 奶
霛	靈
衺	邪
輓	挽
舘	館
韤	襪
鎌	鐮
虖	呼
飈	飆
穅	糠
鍳	鑒
鬰	鬱
淒	凄
韝	鞲 韝
決	决
黃	黄
㪚	散
瑇	玳
惷	蠢
夘	卯
葯	藥
輭	軟
藂	叢
倃	咱
瓌	瑰
朶	朵
粵	粤
阯	址 阯
䛐	詞
鵉	鸞
庻	庶
坵	丘
槩	概
搯	掏
並	并
醃	腌
萲	萱
怱	匆
徧	遍
喆	哲 喆
揷	插
鳧	鳬
蹟	迹
併	并
𡡅	裊
偽	僞
牐	閘
讁	謫
戼	卯
瓈	璃
坿	附
毀	毁
堘	塍
蘂	蕊
凜	凛
匳	奩
媍	婦
踈	疏
藼	萱
薹	苔 薹
𤨏	瑣
霢	霡
帰	歸
塼	磚
嫺	嫻
疋	匹
豔	艷
鹻	碱
蠏	蟹
蒞	莅
娿	婀
叄	叁
饝	饃
扞	捍 扞
楥	楦
彷	彷 仿
寘	置
瑠	琉
蹻	蹺 屩 蹻
𥵃	盞
啗	啖
梲	棁
臕	膘
迯	逃
揜	掩
䶊	衄
俁	俣
麫	麵
剣	劍
満	滿
虯	虬
𩣏	桀
匟	炕
濶	闊
貓	猫
鬬	鬥
䘑	脉
聴	聽
雋	隽
蹧	糟
𣺌	渺
昇	升 昇
貍	狸
蘓	蘇
犂	犁
鷰	燕
俻	備
氷	冰
鵶	鴉
裡	裏
皜	皓
棲	栖
穪	稱
䬃	颯
颿	帆
媿	愧
鼴	鼹
巌	岩
竃	竈
欵	款
炤	照
恥	耻
閙	鬧
𨽻	隸
耑	專 耑
彞	彝
鬀	剃
祇	衹 祇
秖	衹
攷	考
樧	榝
寑	寢
顕	顯
墪	墩
涖	莅
弒	弑
斮	斫
靌	寶
兇	凶
柹	柿
雑	雜
疎	疏
鑚	鑽
儧	攢
搃	總
畮	畝
殼	殻
乹	乾
褵	縭
逥	迴
廹	迫
氊	氈
遡	溯
倐	倏
刼	劫
掙	挣
肎	肯
獃	呆
疿	痱
粃	秕
於	于 於
虛	虚
宮	宫
朢	望
冝	宜
濽	灒
祿	禄
彔	录
阨	厄
劒	劍
𥦗	窗
敍	叙
稺	稚
媼	媪
䋲	繩
況	况
悪	惡
蠔	蚝
癅	瘤
靱	韌
澣	浣
尒	爾
䊀	糊
𠪱	歷
彜	彝
閒	閑 間
鐫	鎸
讌	宴
羨	羡
銕	鐵
淨	净
肧	胚
恠	怪
醣	糖
𠻳	嗽
琱	雕
逈	迥
盋	鉢
羢	絨
曡	叠
碪	砧
瞖	翳
筍	笋
髴	佛
幇	幫
羣	群
琺	珐
欬	咳 欬
阬	坑
爼	俎
呌	叫
麞	獐
靭	韌
繡	綉
饟	餉
臥	卧
戱	戲
鎻	鎖
㫖	旨
幷	并
値	值
尙	尚
凂	浼
挿	插
瑉	珉
槪	概
揅	研
紏	糾
箚	札 劄
夑	燮
橣	檸
撃	擊
騌	鬃
鰌	鰍
筴	策 筴
傌	駡
鈆	鉛
煇	輝
頴	穎
駞	駝
糺	糾
紬	綢
鑑	鑒 鑑
厓	崖 睚 涯 厓
𧅰	護
髪	髮
鬂	鬢
籖	籤
髩	鬢
宼	寇
龝	秋
飡	餐
冦	寇
𪨷	岩
悮	誤
対	對
躱	躲
繋	繫
郰	鄹
湌	餐
郎	郎
豼	貔
敓	敚
偸	偷
楡	榆
婾	偷
喩	喻
兪	俞
飮	飲
逰	游
呑	吞
𠪾	歷
聨	聯
弾	彈
鼍	鼉
貟	員
夀	壽
屛	屏
淸	清
𣒣	芒
