胡	胡 鬍 衚
胧	朧
胨	腖
胪	臚
胫	脛
胶	膠
脉	脈
脍	膾
脏	髒 臟
脐	臍
脑	腦
脓	膿
脔	臠
脚	腳
脱	脫
脶	腡
脸	臉
腊	臘 腊
腌	醃 腌
腘	膕
腭	齶
腻	膩
腼	靦
腽	膃
腾	騰
膑	臏
膻	羶 膻
臜	臢
致	致 緻
舆	輿
舍	舍 捨
舣	艤
舰	艦
舱	艙
舻	艫
艰	艱
艳	豔 艷
艺	藝
节	節
芈	羋
芗	薌
芜	蕪
芦	蘆
芸	芸 蕓
苁	蓯
苇	葦
苈	藶
苋	莧
苌	萇
苍	蒼
苎	苧
苏	蘇 甦 囌
苔	苔 薹
苧	薴
苹	蘋 苹
范	範 范
茎	莖
茏	蘢
茑	蔦
茔	塋
茕	煢
茧	繭
荆	荊
荐	薦 荐
荙	薘
荚	莢
荛	蕘
荜	蓽
荝	萴
荞	蕎
荟	薈
荠	薺
荡	蕩 盪
荣	榮
荤	葷
荥	滎
荦	犖
荧	熒
荨	蕁
荩	藎
荪	蓀
荫	蔭 廕
荬	蕒
荭	葒
荮	葤
药	藥 葯
莅	蒞
莱	萊
莲	蓮
莳	蒔
莴	萵
莶	薟
获	獲 穫
莸	蕕
莹	瑩
莺	鶯
莼	蓴
萚	蘀
萝	蘿
萤	螢
营	營
萦	縈
萧	蕭
萨	薩
葱	蔥
蒀	蒕
蒇	蕆
蒉	蕢
蒋	蔣
蒌	蔞
蒏	醟
蒙	蒙 矇 濛 懞
蓝	藍
蓟	薊
蓠	蘺
蓣	蕷
蓥	鎣
蓦	驀
蔂	虆
蔑	蔑 衊
蔷	薔
蔹	蘞
蔺	藺
蔼	藹
蕰	薀
蕲	蘄
蕴	蘊
薮	藪
藓	蘚
藴	蘊
蘖	櫱
虏	虜
虑	慮
虚	虛
虫	蟲 虫
虬	虯
虮	蟣
虱	蝨
虽	雖
虾	蝦
虿	蠆
蚀	蝕
蚁	蟻
蚂	螞
蚃	蠁
蚕	蠶
蚝	蠔 蚝
蚬	蜆
蛊	蠱
蛎	蠣
蛏	蟶
蛮	蠻
蛰	蟄
蛱	蛺
蛲	蟯
蛳	螄
蛴	蠐
蜕	蛻
蜗	蝸
蜡	蠟 蜡
蝇	蠅
蝈	蟈
蝉	蟬
蝎	蠍
蝼	螻
蝾	蠑
螀	螿
螨	蟎
蟏	蠨
衅	釁
衔	銜
补	補
表	表 錶
衬	襯
衮	袞
袄	襖
袅	嫋 裊
袆	褘
袜	襪
袭	襲
袯	襏
装	裝
裆	襠
裈	褌
裢	褳
裣	襝
裤	褲
裥	襉 襇
褛	褸
褝	襌
褴	襤
襕	襴
见	見
观	觀
觃	覎
规	規
觅	覓
视	視
觇	覘
览	覽
觉	覺
觊	覬
觋	覡
觌	覿
觍	覥
觎	覦
觏	覯
觐	覲
觑	覷
觞	觴
触	觸
觯	觶
訚	誾
詟	讋
誉	譽
誊	謄
讠	訁
计	計
订	訂
讣	訃
认	認
讥	譏
讦	訐
讧	訌
讨	討
让	讓
讪	訕
讫	訖
讬	託
训	訓
议	議
讯	訊
记	記
讱	訒
讲	講
讳	諱
讴	謳
讵	詎
讶	訝
讷	訥
许	許
讹	訛
论	論
讻	訩
讼	訟
讽	諷
设	設
访	訪
诀	訣
证	證 証
诂	詁
诃	訶
评	評
诅	詛
识	識
诇	詗
诈	詐
诉	訴
诊	診
诋	詆
诌	謅
词	詞
诎	詘
诏	詔
诐	詖
译	譯
诒	詒
诓	誆
诔	誄
试	試
诖	詿
诗	詩
诘	詰
诙	詼
诚	誠
诛	誅
诜	詵
话	話
诞	誕
诟	詬
诠	詮
诡	詭
询	詢
诣	詣
诤	諍
该	該
详	詳
诧	詫
诨	諢
诩	詡
诪	譸
诫	誡
诬	誣
语	語
诮	誚
误	誤
诰	誥
诱	誘
诲	誨
诳	誑
说	說
诵	誦
诶	誒
请	請
诸	諸
诹	諏
诺	諾
读	讀
诼	諑
诽	誹
课	課
诿	諉
谀	諛
谁	誰
谂	諗
调	調
谄	諂
谅	諒
谆	諄
谇	誶
谈	談
谉	讅
谊	誼
谋	謀
谌	諶
谍	諜
谎	謊
谏	諫
谐	諧
谑	謔
谒	謁
谓	謂
谔	諤
谕	諭
谖	諼
谗	讒
谘	諮
谙	諳
谚	諺
谛	諦
谜	謎
谝	諞
谞	諝
谟	謨
谠	讜
谡	謖
谢	謝
谣	謠
谤	謗
谥	諡 謚
谦	謙
谧	謐
谨	謹
谩	謾
谪	謫
谫	譾
谬	謬
谭	譚
谮	譖
谯	譙
谰	讕
谱	譜
谲	譎
谳	讞
谴	譴
谵	譫
谶	讖
谷	谷 穀
豮	豶
贝	貝
贞	貞
负	負
贠	貟
贡	貢
财	財
责	責
贤	賢
败	敗
账	賬
货	貨
质	質
贩	販
贪	貪
贫	貧
贬	貶
购	購
贮	貯
贯	貫
贰	貳
贱	賤
贲	賁
贳	貰
贴	貼
贵	貴
贶	貺
贷	貸
贸	貿
费	費
贺	賀
贻	貽
贼	賊
贽	贄
贾	賈
贿	賄
赀	貲
赁	賃
赂	賂
赃	贓
资	資
赅	賅
赆	贐
赇	賕
赈	賑
赉	賚
赊	賒
赋	賦
赌	賭
赍	齎
赎	贖
赏	賞
赐	賜
赑	贔
赒	賙
赓	賡
赔	賠
赕	賧
赖	賴
赗	賵
赘	贅
赙	賻
赚	賺
赛	賽
赜	賾
赝	贗 贋
赞	贊 讚
赟	贇
赠	贈
赡	贍
赢	贏
赣	贛
赪	赬
赵	趙
赶	趕
趋	趨
趱	趲
趸	躉
跃	躍
跄	蹌
跞	躒
践	踐
跶	躂
跷	蹺
跸	蹕
跹	躚
跻	躋
踌	躊
踪	蹤
踬	躓
踯	躑
蹑	躡
蹒	蹣
蹰	躕
蹿	躥
躏	躪
躜	躦
躯	軀
輼	轀
车	車
轧	軋
轨	軌
轩	軒
轪	軑
轫	軔
转	轉
轭	軛
轮	輪
软	軟
轰	轟
轱	軲
轲	軻
轳	轤
轴	軸
轵	軹
轶	軼
轷	軤
轸	軫
轹	轢
轺	軺
轻	輕
轼	軾
载	載
轾	輊
轿	轎
辀	輈
辁	輇
辂	輅
较	較
辄	輒
辅	輔
辆	輛
辇	輦
辈	輩
辉	輝
辊	輥
辋	輞
辌	輬
辍	輟
辎	輜
辏	輳
辐	輻
辑	輯
辒	轀
输	輸
辔	轡
辕	轅
辖	轄
辗	輾
辘	轆
辙	轍
辚	轔
辞	辭
辟	闢 辟
辩	辯
辫	辮
边	邊
辽	遼
达	達
迁	遷
过	過
迈	邁
运	運
还	還
这	這
进	進
远	遠
违	違
连	連
迟	遲
迩	邇
迳	逕
迹	跡 蹟
适	適 适
选	選
逊	遜
递	遞
逦	邐
逻	邏
遗	遺
遥	遙
邓	鄧
邝	鄺
邬	鄔
邮	郵
邹	鄒
邺	鄴
邻	鄰
郁	鬱 郁
郏	郟
郐	鄶
郑	鄭
郓	鄆
郦	酈
郧	鄖
郸	鄲
酂	酇
酝	醞
酦	醱
酱	醬
酸	酸 痠
酽	釅
酾	釃
酿	釀
醖	醞
采	採 采 寀
释	釋
里	裏 里
鉴	鑑 鑒
銮	鑾
錾	鏨
钅	釒
钆	釓
钇	釔
针	針 鍼
钉	釘
钊	釗
钋	釙
钌	釕
钍	釷
钎	釺
钏	釧
钐	釤
钑	鈒
钒	釩
钓	釣
钔	鍆
钕	釹
钖	鍚
钗	釵
钘	鈃
钙	鈣
钚	鈈
钛	鈦
钜	鉅
钝	鈍
钞	鈔
钟	鍾 鐘 鈡
钠	鈉
钡	鋇
钢	鋼
钣	鈑
钤	鈐
钥	鑰 鈅
钦	欽
钧	鈞
钨	鎢
钩	鉤
钪	鈧
钫	鈁 鍅
钬	鈥
钭	鈄
钮	鈕
钯	鈀
钰	鈺
钱	錢
钲	鉦
钳	鉗
钴	鈷
钵	鉢
钶	鈳
钷	鉕
钸	鈽
钹	鈸
钺	鉞
钻	鑽 鉆
钼	鉬
钽	鉭
钾	鉀
钿	鈿
铀	鈾
铁	鐵
铂	鉑
铃	鈴
铄	鑠
铅	鉛
铆	鉚
铇	鉋
铈	鈰
铉	鉉
铊	鉈
铋	鉍
铌	鈮
铍	鈹
铎	鐸
铏	鉶
铐	銬
铑	銠
铒	鉺
铓	鋩
铔	錏
铕	銪
铖	鋮
铗	鋏
铘	鋣
铙	鐃
铚	銍
铛	鐺
铜	銅
铝	鋁
铞	銱
铟	銦
铠	鎧
铡	鍘
铢	銖
铣	銑
