# Open Chinese Convert (OpenCC) Dictionary
# File: HKVariantsRevPhrases.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: hk2s.json, hk2t.json
#
# Notes:
# - This file contains phrase-level exceptions for reverse Hong Kong variant
#   conversion. When a phrase here is matched, that span is converted by this
#   entry and is not affected by the character-level HKVariantsRev.txt mappings.
# - It is related to HKVariantsPhrases.txt, but the two files are not required
#   to be exact reverse mappings. Reverse variant conversion often needs
#   identity phrase exceptions that have no corresponding forward phrase entry.

當世才度	當世才度
疑核	疑核
痔核	痔核
痛失英才	痛失英才
登庸人才	登庸人才
發展核武器	發展核武器
發煙	發煙
發煙劑	發煙劑
白煙	白煙
白鶴秀才	白鶴秀才
百萬噸級核武器	百萬噸級核武器
百里之才	百里之才
皂化	皂化
皂莢	皂莢
皂莢樹	皂莢樹
皂角	皂角
的核	的核
真才實學	真才實學
真核	真核
矜才使氣	矜才使氣
矜能負才	矜能負才
短針	短針
石針	石針
硝煙	硝煙
硝煙彈雨	硝煙彈雨
硬核	硬核
硬肥皂	硬肥皂
碌碌庸才	碌碌庸才
磁核	磁核
磁針	磁針
磨杵成針	磨杵成針
磨針溪	磨針溪
磨鐵成針	磨鐵成針
社交才能	社交才能
禁核	禁核
秀才	秀才
秀才不出門能知天下事	秀才不出門能知天下事
秀才人情	秀才人情
秀才作醫如菜作虀	秀才作醫如菜作虀
秀才造反	秀才造反
秒針	秒針
秧針	秧針
穿針	穿針
穿針引線	穿針引線
穿針走線	穿針走線
管理人才	管理人才
篆煙	篆煙
精核	精核
約核	約核
紋光針	紋光針
紛如煙	紛如煙
細針密縷	細針密縷
結核	結核
結核桿菌	結核桿菌
絕才	絕才
絞包針	絞包針
給個棒錘當針認	給個棒錘當針認
經世之才	經世之才
經國之才	經國之才
經濟之才	經濟之才
綠煙紅霧	綠煙紅霧
網羅人才	網羅人才
綿裏藏針	綿裏藏針
綿裏針	綿裏針
縫衣針	縫衣針
縫針	縫針
縫針補線	縫針補線
縫針跡	縫針跡
總方針	總方針
繃針	繃針
繡花針	繡花針
繡花針兒	繡花針兒
繡針	繡針
羅盤針	羅盤針
美才	美才
美白針	美白針
老奴才	老奴才
老煙槍	老煙槍
老煙鬼	老煙鬼
耐多藥結核病	耐多藥結核病
耳針	耳針
聰明才智	聰明才智
肥皂	肥皂
肥皂劇	肥皂劇
肥皂泡	肥皂泡
肥皂粉	肥皂粉
肥皂絲	肥皂絲
肥皂莢	肥皂莢
育才	育才
胃口	胃口
胡才勇	胡才勇
胸針	胸針
自學成才	自學成才
自核	自核
臺灣台	臺灣台
舊公煙	舊公煙
船不漏針漏針沒外人	船不漏針漏針沒外人
船載的金銀填不滿煙花債	船載的金銀填不滿煙花債
花兒針	花兒針
花煙館	花煙館
英才	英才
英才俊偉	英才俊偉
茂才	茂才
茂才異等	茂才異等
茅針	茅針
茲核	茲核
荒無人煙	荒無人煙
荒煙漫草	荒煙漫草
荒煙蔓草	荒煙蔓草
菌核	菌核
菲才寡學	菲才寡學
葉針	葉針
蓋世之才	蓋世之才
藏針縫	藏針縫
藥皂	藥皂
藥針	藥針
蘋果核	蘋果核
蘭花煙	蘭花煙
蛇口蜂針	蛇口蜂針
螫針	螫針
蠻針瞎灸	蠻針瞎灸
行短才喬	行短才喬
行短才高	行短才高
裊裊炊煙	裊裊炊煙
補血針	補血針
補針	補針
見縫插針	見縫插針
討針線	討針線
詠雪之才	詠雪之才
詩才	詩才
誇才賣智	誇才賣智
誰家竈內無煙	誰家竈內無煙
謊敲才	謊敲才
識多才廣	識多才廣
識才	識才
識才尊賢	識才尊賢
象牙針尖	象牙針尖
負才	負才
負才任氣	負才任氣
負才使氣	負才使氣
賀爾蒙針	賀爾蒙針
賢才	賢才
賤才	賤才
超世之才	超世之才
趫才	趫才
跳針	跳針
蹇吃	蹇吃
身才	身才
軟肥皂	軟肥皂
輇才	輇才
輕核	輕核
輕煙	輕煙
辯才	辯才
辯才天	辯才天
辯才無礙	辯才無礙
迴紋針	迴紋針
退針	退針
逆時針	逆時針
通人達才	通人達才
通才	通才
通才教育	通才教育
通才練識	通才練識
造就人才	造就人才
逸才	逸才
逸羣之才	逸羣之才
過人才略	過人才略
過眼煙雲	過眼煙雲
過眼雲煙	過眼雲煙
適才	適才
選才	選才
遺才	遺才
避雷針	避雷針
邊核	邊核
郎才女姿	郎才女姿
郎才女貌	郎才女貌
鄧艾吃	鄧艾吃
野無遺才	野無遺才
量才錄用	量才錄用
金針	金針
金針山	金針山
金針度人	金針度人
金針花	金針花
金針菇	金針菇
金針菜	金針菜
釘書針	釘書針
針具	針具
針刺	針刺
針刺麻醉	針刺麻醉
針劑	針劑
針孔	針孔
針孔攝影機	針孔攝影機
針孔照像	針孔照像
針孔照像機	針孔照像機
針孔現象	針孔現象
針對	針對
針對性	針對性
針對於	針對於
針尖	針尖
針尖兒	針尖兒
針工	針工
針布	針布
針形葉	針形葉
針指	針指
針挑刀挖	針挑刀挖
針梳機	針梳機
針氈	針氈
針法	針法
針炙	針炙
針狀	針狀
針狀物	針狀物
針盤	針盤
針眼	針眼
針眼子	針眼子
針神	針神
針筆	針筆
針筆匠	針筆匠
針筒	針筒
針箍	針箍
針箍兒	針箍兒
針線	針線
針線包	針線包
針線娘	針線娘
針線活	針線活
針線活計	針線活計
針線盒	針線盒
